Uncollected waste near City Park causing health hazards.,High,City Park,true
Repeated missed pickups in Greenfield neighborhood,Medium,GreenField,true
Overflowing bins near St. John's Hospital.,High,St. John's Hospital,true
Strong odor from waste in the market area.,Low,Market Area,true
Uncollected waste near City Park causing health hazards.,High,City Park,true
Repeated missed pickups in Greenfield neighborhood,High,GreenField,true
Overflowing bins near St. John's Hospital.,Medium,St. John's Hospital,true
Strong odor from waste in the market area.,Low,Market Area,true
Uncollected waste near City Park causing health hazards.,Medium,City Park,true
Overflowing bins near St. John's Hospital.,High,City Park,true
